Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,99.550003,101.750000,98.940002,101.120003,96.023270,35329300
2019-01-03,100.099998,100.190002,97.199997,97.400002,92.490776,42579100
2019-01-04,99.720001,102.510002,98.930000,101.930000,96.792442,44060600
2019-01-07,101.639999,103.269997,100.980003,102.059998,96.915894,35656100
2019-01-08,103.040001,103.970001,101.709999,102.800003,97.618576,31514400
2019-01-09,103.860001,104.879997,103.239998,104.269997,99.014481,32280800
2019-01-10,103.220001,103.750000,102.379997,103.599998,98.378273,30067600
2019-01-11,103.190002,103.440002,101.639999,102.800003,97.618576,28314200
2019-01-14,101.900002,102.870003,101.260002,102.050003,96.906395,28437100
2019-01-15,102.510002,105.050003,101.879997,105.010002,99.717209,31587600
2019-01-16,105.260002,106.260002,104.959999,105.379997,100.068542,29853900
2019-01-17,105.000000,106.629997,104.760002,106.120003,100.771255,28393000
2019-01-18,107.459999,107.900002,105.910004,107.709999,102.281120,37427600
2019-01-22,106.750000,107.099998,104.860001,105.680000,100.353432,32371300
2019-01-23,106.120003,107.040001,105.339996,106.709999,101.331512,25874300
2019-01-24,106.860001,107.000000,105.339996,106.199997,100.847221,23164800
2019-01-25,107.239998,107.879997,106.199997,107.169998,101.768333,31225600
2019-01-28,106.260002,106.480003,104.660004,105.080002,99.783661,29476700
2019-01-29,104.879997,104.970001,102.169998,102.940002,97.751526,31490500
2019-01-30,104.620003,106.379997,104.330002,106.379997,101.018143,49471900
2019-01-31,103.800003,105.220001,103.180000,104.430000,99.166435,55636400
2019-02-01,103.779999,104.099998,102.349998,102.779999,97.599586,35535700
2019-02-04,102.870003,105.800003,102.769997,105.739998,100.410408,31315100
2019-02-05,106.059998,107.269997,105.959999,107.220001,101.815811,27325400
2019-02-06,107.000000,107.000000,105.529999,106.029999,100.685776,20609800
2019-02-07,105.190002,105.589996,104.290001,105.269997,99.964104,29760700
2019-02-08,104.389999,105.779999,104.260002,105.669998,100.343933,21461100
2019-02-11,106.199997,106.580002,104.970001,105.250000,99.945091,18914100
2019-02-12,106.139999,107.139999,105.480003,106.889999,101.502449,25056600
2019-02-13,107.500000,107.779999,106.709999,106.809998,101.426460,18394900
2019-02-14,106.309998,107.290001,105.660004,106.900002,101.511925,21784700
2019-02-15,107.910004,108.300003,107.360001,108.220001,102.765411,26606900
2019-02-19,107.790001,108.660004,107.779999,108.169998,102.717903,18038500
2019-02-20,107.860001,107.940002,106.290001,107.150002,102.183891,21607700
2019-02-21,106.900002,109.480003,106.870003,109.410004,104.339149,29063200
2019-02-22,110.050003,111.199997,109.820000,110.970001,105.826836,27763200
2019-02-25,111.760002,112.180000,111.260002,111.589996,106.418091,23750600
2019-02-26,111.260002,113.239998,111.169998,112.360001,107.152397,21536700
2019-02-27,111.690002,112.360001,110.879997,112.169998,106.971207,21487100
2019-02-28,112.040001,112.879997,111.730003,112.029999,106.837700,29083900
2019-03-01,112.889999,113.019997,111.669998,112.529999,107.314522,23501200
2019-03-04,113.019997,113.250000,110.800003,112.260002,107.057037,26608000
2019-03-05,112.250000,112.389999,111.230003,111.699997,106.522980,19538300
2019-03-06,111.870003,112.660004,111.430000,111.750000,106.570656,17687000
2019-03-07,111.400002,111.550003,109.870003,110.389999,105.273720,25339000
2019-03-08,109.160004,110.709999,108.800003,110.510002,105.388168,22818400
2019-03-11,110.989998,112.949997,110.980003,112.830002,107.600632,26491600
2019-03-12,112.820000,113.989998,112.650002,113.620003,108.354004,26132700
2019-03-13,114.129997,115.000000,113.779999,114.500000,109.193222,35513800
2019-03-14,114.540001,115.199997,114.330002,114.589996,109.279053,30763400
2019-03-15,115.339996,117.250000,114.589996,115.910004,110.537865,54681100
2019-03-18,116.169998,117.610001,116.050003,117.570000,112.120949,31207600
2019-03-19,118.089996,118.440002,116.989998,117.650002,112.197235,37588700
2019-03-20,117.389999,118.750000,116.709999,117.519997,112.073250,28113300
2019-03-21,117.139999,120.820000,117.089996,120.220001,114.648109,29854400
2019-03-22,119.500000,119.589996,117.040001,117.050003,111.625046,33624500
2019-03-25,116.559998,118.010002,116.320000,117.660004,112.206757,27067100
2019-03-26,118.620003,118.709999,116.849998,117.910004,112.445183,26097700
2019-03-27,117.879997,118.209999,115.519997,116.769997,111.357994,22733400
2019-03-28,117.440002,117.580002,116.129997,116.930000,111.510597,18334800
2019-03-29,118.070000,118.320000,116.959999,117.940002,112.473801,25399800
2019-04-01,118.949997,119.110001,118.099998,119.019997,113.503723,22789100
2019-04-02,119.059998,119.480003,118.519997,119.190002,113.665848,18142300
2019-04-03,119.860001,120.430000,119.150002,119.970001,114.409691,22860700
2019-04-04,120.099998,120.230003,118.379997,119.360001,113.827980,20112800
2019-04-05,119.389999,120.230003,119.370003,119.889999,114.333420,15826200
2019-04-08,119.809998,120.019997,118.639999,119.930000,114.371552,15116200
2019-04-09,118.629997,119.540001,118.580002,119.279999,113.751678,17612000
2019-04-10,119.760002,120.349998,119.540001,120.190002,114.619499,16477200
2019-04-11,120.540001,120.849998,119.919998,120.330002,114.753021,14209100
2019-04-12,120.639999,120.980003,120.370003,120.949997,115.344269,19745100
2019-04-15,120.940002,121.580002,120.570000,121.050003,115.439659,15792600
2019-04-16,121.639999,121.650002,120.099998,120.769997,115.172638,14071800
2019-04-17,121.239998,121.849998,120.540001,121.769997,116.126259,19300900
2019-04-18,122.190002,123.519997,121.300003,123.370003,117.652122,27991000
2019-04-22,122.620003,124.000000,122.570000,123.760002,118.024071,15648700
2019-04-23,124.099998,125.580002,123.830002,125.440002,119.626183,24025500
2019-04-24,125.790001,125.849998,124.519997,125.010002,119.216110,31257000
2019-04-25,130.059998,131.369995,128.830002,129.149994,123.164253,38033900
2019-04-26,129.699997,130.520004,129.020004,129.889999,123.869942,23654900
2019-04-29,129.899994,130.179993,129.350006,129.770004,123.755493,16324200
2019-04-30,129.809998,130.699997,129.389999,130.600006,124.547035,24166500
2019-05-01,130.529999,130.649994,127.699997,127.879997,121.953094,26821700
2019-05-02,127.980003,128.000000,125.519997,126.209999,120.360512,27350200
2019-05-03,127.360001,129.429993,127.250000,128.899994,122.925827,24911100
2019-05-06,126.389999,128.559998,126.110001,128.149994,122.210564,24239800
2019-05-07,126.459999,127.180000,124.220001,125.519997,119.702461,36017700
2019-05-08,125.440002,126.370003,124.750000,125.510002,119.692947,28419000
2019-05-09,124.290001,125.790001,123.570000,125.500000,119.683395,27235800
2019-05-10,124.910004,127.930000,123.820000,127.129997,121.237869,30915100
2019-05-13,124.110001,125.550003,123.040001,123.349998,117.633057,33944900
2019-05-14,123.870003,125.879997,123.699997,124.730003,118.949089,25266300
2019-05-15,124.260002,126.709999,123.699997,126.019997,120.624161,24722700
2019-05-16,126.750000,129.380005,126.459999,128.929993,123.409569,30112200
2019-05-17,128.309998,130.460007,127.919998,128.070007,122.586380,25770500
2019-05-20,126.519997,127.589996,125.760002,126.220001,120.815620,23706900
2019-05-21,127.430000,127.529999,126.580002,126.900002,121.466492,15293300
2019-05-22,126.620003,128.240005,126.519997,127.669998,122.203514,15396500
2019-05-23,126.199997,126.290001,124.739998,126.180000,120.777306,23603800
2019-05-24,126.910004,127.419998,125.970001,126.239998,120.834740,14123400
2019-05-28,126.980003,128.000000,126.050003,126.160004,120.758179,23128400
2019-05-29,125.379997,125.389999,124.040001,124.940002,119.590424,22763100
2019-05-30,125.260002,125.760002,124.779999,125.730003,120.346588,16829600
2019-05-31,124.230003,124.620003,123.320000,123.680000,118.384361,26646800
2019-06-03,123.849998,124.370003,119.010002,119.839996,114.708778,37983600
2019-06-04,121.279999,123.279999,120.650002,123.160004,117.886620,29382600
2019-06-05,124.949997,125.870003,124.209999,125.830002,120.442322,24926100
2019-06-06,126.440002,127.970001,125.599998,127.820000,122.347092,21459000
2019-06-07,129.190002,132.250000,128.259995,131.399994,125.773788,33885600
2019-06-10,132.399994,134.080002,132.000000,132.600006,126.922432,26477100
2019-06-11,133.880005,134.240005,131.279999,132.100006,126.443832,23913700
2019-06-12,131.399994,131.970001,130.710007,131.490005,125.859932,17092500
2019-06-13,131.979996,133.000000,131.559998,132.320007,126.654419,17200800
2019-06-14,132.259995,133.789993,131.639999,132.449997,126.778824,17821700
2019-06-17,132.630005,133.729996,132.529999,132.850006,127.161713,14517800
2019-06-18,134.190002,135.240005,133.570007,135.160004,129.372803,25934500
2019-06-19,135.000000,135.929993,133.809998,135.690002,129.880127,23744400
2019-06-20,137.449997,137.660004,135.720001,136.949997,131.086182,33042600
2019-06-21,136.580002,137.729996,136.460007,136.970001,131.105301,36727900
2019-06-24,137.000000,138.399994,137.000000,137.779999,131.880615,20628800
2019-06-25,137.250000,137.589996,132.729996,133.429993,127.716858,33327400
2019-06-26,134.350006,135.740005,133.600006,133.929993,128.195465,23657700
2019-06-27,134.139999,134.710007,133.509995,134.149994,128.406052,16557500
2019-06-28,134.570007,134.600006,133.160004,133.960007,128.224228,30043000
2019-07-01,136.630005,136.699997,134.970001,135.679993,129.870529,22613500
2019-07-02,136.119995,136.589996,135.339996,136.580002,130.732010,15237800
2019-07-03,136.800003,137.740005,136.289993,137.460007,131.574310,13629300
2019-07-05,135.940002,137.330002,135.720001,137.059998,131.191467,18141100
2019-07-08,136.399994,137.100006,135.369995,136.960007,131.095734,16779700
2019-07-09,136.000000,136.970001,135.800003,136.460007,130.617157,19953100
2019-07-10,137.130005,138.580002,137.020004,137.850006,131.947647,24204400
2019-07-11,138.199997,139.220001,137.869995,138.399994,132.474060,22327900
2019-07-12,138.850006,139.130005,138.009995,138.899994,132.952667,18936800
2019-07-15,139.440002,139.539993,138.460007,138.899994,132.952667,16651500
2019-07-16,138.960007,139.050003,136.520004,137.080002,131.210632,22726100
